"T1_1H_R1";"T1_2H_R1";"T1_3H_R1";"T1_4H_R1";"T1_5H_R1";"T1_6H_R1";"T2_1H_R1";"T2_2H_R1";"T2_3H_R1";"T2_4H_R1";"T2_5H_R1";"T2_6H_R1";"T3_1H_R1";"T3_2H_R1";"T3_3H_R1";"T3_4H_R1";"T3_5H_R1";"T3_6H_R1";"T1_1H_R2";"T1_2H_R2";"T1_3H_R2";"T1_4H_R2";"T1_5H_R2";"T1_6H_R2";"T2_1H_R2";"T2_2H_R2";"T2_3H_R2";"T2_4H_R2";"T2_5H_R2";"T2_6H_R2";"T3_1H_R2";"T3_2H_R2";"T3_3H_R2";"T3_4H_R2";"T3_5H_R2";"T3_6H_R2";"ExpT1";"ExpT2";"ExpT3"
"G5";-0.205473371673671;-0.688820630535136;-0.181084292457159;-0.0665653790228911;0.521708650929479;0.448093894235882;-0.449139485833049;-1.51438242635792;-3.81537628220098;-2.50301074964816;-2.91443707904242;-3.57275972890651;-0.664469881800527;-2.52206409458588;-1.79698657580021;-2.967056380757;-2.99181588026815;-2.83682848359259;-0.249909102507758;-0.237592463255937;-0.741474484396918;0.50437953620041;0.354860021501365;0.698309385242383;-0.670518194777834;-2.48903942894757;-2.39893617285637;-2.55176592338457;-2.47443654426937;-3.1445428371992;-0.619518359230194;-2.70641946013841;-2.82849783079725;-2.84934152140088;-2.93825907657888;-3.39069261263217;"Non";"Sous";"Sous"
"G6";-0.61951031061927;-0.856137572444031;-0.021083911119149;-0.144561564857705;0.49344923971163;0.45369548719073;-0.571567926654624;-1.47552916964125;-3.07863525882144;-2.21752711394945;-2.26586462552489;-3.35918012637587;-0.542704320741065;-2.28138314129394;-1.5971482629502;-2.63514651558131;-2.42474398288711;-2.53558833792327;-0.526562340545118;-0.347359147224861;-0.639910549616782;0.274070257403814;0.346683718832525;0.662602071315915;-0.670472032693997;-2.4162352413873;-2.20997523540593;-2.19761277932438;-2.2384780449192;-2.46811999770479;-0.842288522809653;-2.44781416552472;-2.55242220908989;-2.48370904933582;-2.46109665148794;-2.97051364275189;"Non";"Sous";"Sous"
"G11";0.308707297652515;0.817226240571558;-0.561473696980561;0.181479325505596;-0.337045616946684;-0.373166177602351;-0.208943046368331;-1.28998669738434;-2.63322880647505;-2.40108246996536;-2.43974374074717;-2.0335778733299;-0.270860620275216;-1.17607995069724;-3.01792393089807;-2.95278119532858;-2.96355686212142;-2.49067426791125;0.302973226110854;0.547722401718159;0.588542848465385;-0.907732278293001;-1.42798244249608;-0.699310856514107;0.163091716190475;-2.30674606336186;-2.32066602622834;-3.29380626872573;-2.96687778857119;-3.18306284507921;-0.194661052334053;-2.10675669595507;-2.62356306421839;-3.02374738254161;-2.80722515043543;-2.69817974784368;"Non";"Sous";"Sous"
"G13";0.192492920679311;0.147687294260109;0.242387302400635;0.561824906415038;0.045314177683085;-0.635164393432327;0.526285078860874;1.43148420067563;1.84204775231084;1.83282514323738;1.92424716467997;2.19226450372327;0.412674125982756;1.68756470777371;1.81185546249962;1.86792497927834;2.14248832463983;2.09804964700591;-0.23444077407354;-0.289916318138693;0.725022974797153;-0.487764562435855;-0.289366412059717;-0.648621821740083;0.272046791688946;1.46954573989005;1.83160832328035;1.61813552177231;2.19128338315946;2.18858458285386;0.170433018608632;1.5124229549251;2.05069321720956;1.55869369166416;2.31767252417577;2.15618523962906;"Non";"Sur";"Sur"
"G18";0.108072533073568;0.288116708373455;-0.197472703122458;-0.0015498270845935;-0.227408469840448;-0.570906154217245;0.340130612118789;-0.0468264056575394;-0.326733667780032;-0.470150173575797;0.0152905249446489;2.16713777824357;-0.0401962232244704;0.179040031452812;-0.19221231320824;-0.552894040268086;-0.00553009770740909;2.09230809943546;-0.329565479988808;0.00439747812166669;0.171438157133912;-0.530095807085849;-0.480802548909286;-0.713599501489399;-0.373112321043852;-0.10942654965244;0.130255000055336;-0.452727775068742;0.887521525262923;2.18016914373364;-0.446024603203494;0.0383622993569448;-0.110776871712944;-0.221952792007205;1.18751218144316;1.95240487120357;"Non";"Sur";"Sur"
"G23";0.113509438716438;-0.296987839197729;-0.134348386557891;0.0712419467873033;-0.59324438785282;0.70293521587314;0.168175731135901;-1.33944054125092;-2.85552891826582;-3.44669952739525;-4.29654701607152;-3.84355988250833;0.559210151739697;-1.33833717475525;-2.61519518388523;-3.55536144554457;-4.37518707854444;-3.60519331482593;-0.147530287294969;-0.0440089272244855;-0.440466201714157;0.175142619237843;-0.461025834055017;0.743676436429484;-0.135373658466643;-1.45001797521111;-2.23512437181807;-3.78030632194398;-4.10841287040306;-4.47172810231971;-0.275317225689991;-1.40623300584502;-2.20499554535082;-3.1804119271305;-3.9408392779274;-4.66868016278168;"Non";"Sous";"Sous"
"G32";-0.221102649553084;0.303562315301806;0.0369710702255381;0.588136151088816;-0.207168055793682;-0.26667099785363;0.341631641919385;1.96534205298518;2.81301601100964;3.02410411512097;2.31264047734688;2.72555482342234;0.286630522586909;2.13270108526151;2.91106257083686;3.19834259779313;2.56255864387769;2.50182160850615;-0.0330570771134857;0.206885452137469;0.30900850825335;-0.0433713172018222;-0.491428158205959;-0.825196868845509;0.41942715227745;2.42520674041808;2.6206305201562;2.69441848414345;2.33205654541814;2.45641826317597;0.400032819605909;2.34768478352807;2.92014703378405;2.89403950830041;2.14568604554871;2.37509870711646;"Non";"Sur";"Sur"
"G42";-0.812576874734662;-0.710581369512074;0.47188211585867;-0.225471096078373;-0.106045211853041;0.164679415219085;-0.0383545292933478;0.957993096799381;2.34666448434253;2.3917285019007;3.51563770573967;4.00764280475113;0.126995613754469;0.930222838961118;1.85356776545214;2.49003672745757;3.22693353554565;4.19639208063465;-0.553089087302312;0.664040473762581;0.492097926470561;1.59511435509322;0.333377599698109;1.32792642453388;-0.103039728337611;1.22229989000276;1.53626313586023;3.70443879333717;3.76714824153452;4.55185962622823;0.668433946271222;1.42537609605254;1.29216243938874;3.85048301488314;4.21759377697289;5.02684263033211;"Non";"Sur";"Sur"
"G54";-0.414804386121014;-1.58928870903508;0.365966293258476;-1.19692008887836;0.224865980758508;0.174206109917691;-0.980539359403477;-1.66373839032654;-2.43694247471079;-2.24527475849331;-1.65045266667354;-3.8015033779924;-1.63433901106087;-1.95201291855444;-2.51960548374154;-2.2718530889738;-1.82541080694328;-3.14785927600302;-0.0551309039515027;-0.640914245327825;-1.94216116808728;0.653867229820259;-0.333919270495604;-1.6364548221948;-1.25383478023909;-1.30563510195364;-2.43922798692804;-0.517155000828195;-1.1881183116967;-3.49382866388332;-1.22432508154356;-1.51647731805351;-2.89529235208;-1.89940842408218;-1.79835592500859;-3.54811358275901;"Non";"Sous";"Sous"
"G62";0.369419108645674;0.381725356994147;0.0416122574988993;0.258655736089533;0.245988321680373;-0.59263418477192;0.0348568192134158;-0.155510857018081;-0.0293827421926283;-1.92943113264959;-1.20053502011978;-2.38528975599662;0.11580515196873;-0.583628854986666;-0.788948064675469;-0.696241111089392;-1.214928490479;-2.66654952564059;0.161337820642721;-0.217569675123503;-0.084057700321396;-0.247734126424386;-0.449578957361491;-0.662081046100432;-0.375623304154242;-0.0635255094083602;-0.66627059057738;-1.61695141715137;-2.07914540135973;-2.47399012894589;0.012889630056927;-1.10753276929297;-1.08335942763782;-1.71947211667381;-2.55901345697727;-3.0823665186193;"Non";"Sous";"Sous"
